Lecture ID,Lecture title,YouTube URL,Output name
thermodynamics-lecture-09,Second Law Of Thermodynamics Introduction,https://youtu.be/a7CxGA6qQPE,comments-09-second-law-of-thermodynamics-introduction
thermodynamics-lecture-10,What is ENTROPY ? || Spontaneity and Entropy,https://youtu.be/NfB2chtSy-I,comments-10-what-is-entropy-spontaneity-and-entropy
thermodynamics-lecture-11,Entropy of different process | How to find Entropy,https://youtu.be/_zYbZY-gZYw,comments-11-entropy-of-different-process-how-to-find-entropy
thermodynamics-lecture-12,Gibb's Free Energy,https://youtu.be/pvLmWz3tWz8,comments-12-gibbs-free-energy
thermodynamics-lecture-13,Standard Gibb's Free Energy and Equilibrium Constant,https://youtu.be/nkO0x0uWiNs,comments-13-standard-gibbs-free-energy-and-equilibrium-constant
equilibrium-lecture-01,Introduction to Equilibrium,https://youtu.be/sCUgeC5ACv8,comments-01-introduction-to-equilibrium
equilibrium-lecture-02,Equilibrium Constant Kp and Kc,https://youtu.be/oyr7q5BrGEA,comments-02-equilibrium-constant-kp-and-kc
equilibrium-lecture-03,Law Of Chemical Equilibrium Numericals,https://youtu.be/z2G52O_7nd4,comments-03-law-of-chemical-equilibrium-numericals
equilibrium-lecture-04,Degree of Dissociation and Observed Density,https://youtu.be/x13K19_JwgY,comments-04-degree-of-dissociation-and-observed-density
equilibrium-lecture-05,Le-Chatelier's Principle,https://youtu.be/NVZ4Jb9tLX4,comments-05-le-chateliers-principle
equilibrium-lecture-06,Theories Of Acids and Bases,https://youtu.be/Uql1eQGq9Dg,comments-06-theories-of-acids-and-bases
equilibrium-lecture-07,Ionisation Constant Of Weak Acid and Base,https://youtu.be/Dgdz6bfRMdc,comments-07-ionisation-constant-of-weak-acid-and-base
equilibrium-lecture-08,pH Of Solutions | How to find pH | How to calculate pH of any Solution,https://youtu.be/uuGl5o8b3Zk,comments-08-ph-of-solutions-how-to-find-ph-how-to-calculate-ph-of-any-solution
equilibrium-lecture-09,Common-Ion Effect,https://youtu.be/xqq78GsLXSA,comments-09-common-ion-effect
equilibrium-lecture-10,Buffer Solutions Part 1 of 2,https://youtu.be/KH0w5TZnJaA,comments-10-buffer-solutions-part-1-of-2
equilibrium-lecture-11,Buffer Solutions Part 2 of 2,https://youtu.be/30eFAm74wp0,comments-11-buffer-solutions-part-2-of-2
equilibrium-lecture-12,Salt Hydrolysis,https://youtu.be/I33BwmAz1sY,comments-12-salt-hydrolysis
equilibrium-lecture-13,Solubility and Solubility Product,https://youtu.be/1tRdbmroncE,comments-13-solubility-and-solubility-product
redox-electrochemistry-lecture-01,How to Find Oxidation Number - Methods & Tricks,https://youtu.be/c06C1t0PnGk,comments-01-how-to-find-oxidation-number-methods-and-tricks
redox-electrochemistry-lecture-02,Oxidation and Reduction & Types of Redox Reactions,https://youtu.be/5Bf_Qk_YSI8,comments-02-oxidation-and-reduction-and-types-of-redox-reactions
redox-electrochemistry-lecture-03,Balancing a Chemical Equation By Ion-Electron Method or Half Reaction Method,https://youtu.be/vf6PiQVK6oU,comments-03-balancing-a-chemical-equation-by-ion-electron-method-or-half-reaction-method
redox-electrochemistry-lecture-04,Balancing a Chemical Equation By Oxidation Number Method,https://youtu.be/v6D5eETBQk0,comments-04-balancing-a-chemical-equation-by-oxidation-number-method
redox-electrochemistry-lecture-05,Daniell Cell - Electrochemical / Galvanic / Voltaic Cell,https://youtu.be/j7PYqR1iGMg,comments-05-daniell-cell-electrochemical-galvanic-voltaic-cell
redox-electrochemistry-lecture-06,Electrode Potential and EMF Of Cell - Basics,https://youtu.be/xj8HNg_zWIw,comments-06-electrode-potential-and-emf-of-cell-basics
redox-electrochemistry-lecture-07,NERNST Equation for Electrode Potential and EMF of Cell,https://youtu.be/UlwKBzIiIVo,comments-07-nernst-equation-for-electrode-potential-and-emf-of-cell
redox-electrochemistry-lecture-08,Standard Hydrogen Electrode (SHE): Theory and Numericals,https://youtu.be/XN60W6H0XWw,comments-08-standard-hydrogen-electrode-she-theory-and-numericals
redox-electrochemistry-lecture-09,Electrochemical Series,https://youtu.be/rkf6PQFv_R4,comments-09-electrochemical-series
redox-electrochemistry-lecture-10,Electrolysis OR Electrochemical Cell: Introduction - Product at Electrode,https://youtu.be/oFdw8j6cq6w,comments-10-electrolysis-or-electrochemical-cell-introduction-product-at-electrode
redox-electrochemistry-lecture-11,Faraday's Laws Of Electrolysis,https://youtu.be/OrYmCoFB44Q,comments-11-faradays-laws-of-electrolysis
redox-electrochemistry-lecture-12,Electrolytic Conductance - Conductivity - Molar and Equivalent Conductivity,https://youtu.be/e2FexAPcwvw,comments-12-electrolytic-conductance-conductivity-molar-and-equivalent-conductivity
redox-electrochemistry-lecture-13,Variation of Molar Conductivity with Concentration - KOHLRAUSCH'S LAW,https://youtu.be/uY24hg3SjX4,comments-13-variation-of-molar-conductivity-with-concentration-kohlrauschs-law
solutions-lecture-01,Solutions 01 II Introduction and Concentration Terms,https://youtu.be/nn-1UU_1PX8,comments-01-solutions-01-ii-introduction-and-concentration-terms
solutions-lecture-02,Vapour Pressure of Solution of Two Volatile Liquids - RAOULT'S Law,https://youtu.be/ltirLC4AD2E,comments-02-vapour-pressure-of-solution-of-two-volatile-liquids-raoults-law
solutions-lecture-03,Relative Lowering of Vapour Pressure due to Non-Volatile Solute - Colligative Property,https://youtu.be/qpfnOJlL3SU,comments-03-relative-lowering-of-vapour-pressure-due-to-non-volatile-solute-colligative-property
solutions-lecture-04,Ideal and Non-Ideal Solutions - Raoult's Law: +ve Deviation and -ve Deviation,https://youtu.be/Lrn31fEY5uc,comments-04-ideal-and-non-ideal-solutions-raoults-law-plus-ve-deviation-and-ve-deviation
solutions-lecture-05,Colligative Property - Elevation in Boiling Point,https://youtu.be/i5rSNwv9v9s,comments-05-colligative-property-elevation-in-boiling-point
solutions-lecture-06,Colligative Property - Depression in Freezing Point,https://youtu.be/aMbnHVKiYWg,comments-06-colligative-property-depression-in-freezing-point
solutions-lecture-07,Colligative Property - Osmotic Pressure,https://youtu.be/EEnbajugGfg,comments-07-colligative-property-osmotic-pressure
solutions-lecture-08,Van't Hoff Factor and Abnormal Molar Masses,https://youtu.be/1b0tmhf8c3s,comments-08-vant-hoff-factor-and-abnormal-molar-masses
solutions-lecture-09,Previous Year IIT Questions on Colligative Properties,https://youtu.be/p-aCsUDvoSo,comments-09-previous-year-iit-questions-on-colligative-properties
solutions-lecture-10,Solubility and Henry's Law,https://youtu.be/JCmK2OJGwyY,comments-10-solubility-and-henrys-law
chemical-kinetics-lecture-01,Introduction - Rate of Reaction,https://youtu.be/Ez2EaGNt-u8,comments-01-introduction-rate-of-reaction
chemical-kinetics-lecture-02,Factors Affecting Rate of Reaction - 7 Factors,https://youtu.be/Wg8gUHWlfG8,comments-02-factors-affecting-rate-of-reaction-7-factors
chemical-kinetics-lecture-03,Rate Law and Order Of Reaction,https://youtu.be/4YLbhZtia1Q,comments-03-rate-law-and-order-of-reaction
chemical-kinetics-lecture-04,Initial Rate Method to Determine Order of Reaction & Rate Law,https://youtu.be/5XgyuftggTo,comments-04-initial-rate-method-to-determine-order-of-reaction-and-rate-law
chemical-kinetics-lecture-05,ZERO Order Kinetics | Rate Law and Half Life Of Zero Order,https://youtu.be/A0QsbNj9x24,comments-05-zero-order-kinetics-rate-law-and-half-life-of-zero-order
chemical-kinetics-lecture-06,FIRST Order Kinetics | Complete First Order Reaction,https://youtu.be/djvupjkQJ1U,comments-06-first-order-kinetics-complete-first-order-reaction
chemical-kinetics-lecture-07,"Second, Third & nth Order Reaction & Kinetics - All Formulae",https://youtu.be/rqSvq-3mnC8,comments-07-second-third-and-nth-order-reaction-and-kinetics-all-formulae
chemical-kinetics-lecture-08,How to Determine Order of Reaction? Half Life Method & Other Methods,https://youtu.be/rGZfrCEC6NM,comments-08-how-to-determine-order-of-reaction-half-life-method-and-other-methods
chemical-kinetics-lecture-09,Molecularity of Reaction | Pseudo Order Reaction | Molecularity,https://youtu.be/GmFnROiHYE4,comments-09-molecularity-of-reaction-pseudo-order-reaction-molecularity
chemical-kinetics-lecture-10,Arrhenius Equation | Effect of Temperature on Rate of Reaction,https://youtu.be/uexnw54Cluk,comments-10-arrhenius-equation-effect-of-temperature-on-rate-of-reaction
chemical-kinetics-lecture-11,Complex Reaction - Mechanism of Reaction - Steady State Approximation,https://youtu.be/Tko6iBir6GM,comments-11-complex-reaction-mechanism-of-reaction-steady-state-approximation
chemical-kinetics-lecture-12,Parallel First Order Reaction Kinetics,https://youtu.be/DrE6ApKqgwU,comments-12-parallel-first-order-reaction-kinetics
periodic-classification-lecture-01,Historical Development,https://youtu.be/TOXF8LXEFJw,comments-01-historical-development
periodic-classification-lecture-02,Modern Periodic Table,https://youtu.be/ZXpCDByQPdA,comments-02-modern-periodic-table
periodic-classification-lecture-03,"How to Find Group, Period and Block of any Element || spdf Trick",https://youtu.be/V7BL9HKZYMY,comments-03-how-to-find-group-period-and-block-of-any-element-spdf-trick
periodic-classification-lecture-04,"Atomic Radius, Ionic Radius & Its Variation",https://youtu.be/hGaKK3XrMJQ,comments-04-atomic-radius-ionic-radius-and-its-variation
periodic-classification-lecture-05,Ionization Energy || Ionization Potential,https://youtu.be/6HqlknZbqJI,comments-05-ionization-energy-ionization-potential
periodic-classification-lecture-06,Electron Affinity || Electron Gain Enthalpy,https://youtu.be/O6ToralUhKE,comments-06-electron-affinity-electron-gain-enthalpy
periodic-classification-lecture-07,Electronegativity,https://youtu.be/WmO3uCp23b4,comments-07-electronegativity
p-block-elements-lecture-01,P-Block Elements,https://youtu.be/b0k5LOk_uPk,comments-01-p-block-elements
d-and-f-block-elements-lecture-01,d- and f-Block Elements,https://youtu.be/SjILQ6cX_Vo,comments-01-d-and-f-block-elements
coordination-compounds-lecture-01,Coordination Compounds,https://youtu.be/5myJzBeN514,comments-01-coordination-compounds
iupac-lecture-01,Some Basic Principles and Naming of Alkanes,https://youtu.be/ZgccHLOj3W4,comments-01-some-basic-principles-and-naming-of-alkanes
iupac-lecture-02,Complex Substituents and Cycloalkanes,https://youtu.be/R2RvDt6NWlo,comments-02-complex-substituents-and-cycloalkanes
iupac-lecture-03,Naming of Alkenes and Alkynes,https://youtu.be/VUoEdUgvGNo,comments-03-naming-of-alkenes-and-alkynes
iupac-lecture-04,Functional Groups with Secondary Suffix,https://youtu.be/pWtpwjj7ZdY,comments-04-functional-groups-with-secondary-suffix
iupac-lecture-05,Naming of Alcohols,https://youtu.be/3nvTs9lkhag,comments-05-naming-of-alcohols
iupac-lecture-06,Naming of Aldehydes and Ketones,https://youtu.be/wIkiE0PE8bE,comments-06-naming-of-aldehydes-and-ketones
iupac-lecture-07,Naming of Carboxylic Acid and Acid Halides,https://youtu.be/OPdpILw2db0,comments-07-naming-of-carboxylic-acid-and-acid-halides
iupac-lecture-08,Naming of Acid Amides and Esters,https://youtu.be/8aQ9TL68BeU,comments-08-naming-of-acid-amides-and-esters
iupac-lecture-09,"Naming of Cyanides, Amines, and Ethers",https://youtu.be/wmCl7By2wfk,comments-09-naming-of-cyanides-amines-and-ethers
iupac-lecture-10,Naming of Polyfunctional Compounds,https://youtu.be/RN7_Q38RePk,comments-10-naming-of-polyfunctional-compounds
iupac-lecture-11,Naming of Aromatic Compounds - Benzene Rings,https://youtu.be/5qE2KJS1C4U,comments-11-naming-of-aromatic-compounds-benzene-rings
iupac-lecture-12,Naming of Bicyclo and Spiro Compounds,https://youtu.be/zZAJsddI8os,comments-12-naming-of-bicyclo-and-spiro-compounds
isomerism-lecture-01,Introduction: Chain and Position Isomerism,https://youtu.be/mq1L2plDTrU,comments-01-introduction-chain-and-position-isomerism
isomerism-lecture-02,How to Find Total Structural Isomers,https://youtu.be/_RsvQC69GqE,comments-02-how-to-find-total-structural-isomers
isomerism-lecture-03,"Functional Isomerism, Metamerism, Ring-Chain Isomerism",https://youtu.be/9gti5tVKAwY,comments-03-functional-isomerism-metamerism-ring-chain-isomerism
isomerism-lecture-04,Tautomerism 01: Condition to Show Tautomerism and Special Cases,https://youtu.be/MdBxRUu81W4,comments-04-tautomerism-01-condition-to-show-tautomerism-and-special-cases
isomerism-lecture-05,Tautomerism 02: Percentage of Enol Content & Stability of Enol,https://youtu.be/f97VxiXfjl8,comments-05-tautomerism-02-percentage-of-enol-content-and-stability-of-enol
isomerism-lecture-06,Stereoisomerism: Geometrical Isomers 01 | Cis-Trans / E-Z / Syn-Anti,https://youtu.be/C7CMdH2w0wE,comments-06-stereoisomerism-geometrical-isomers-01-cis-trans-e-z-syn-anti
isomerism-lecture-07,"Geometrical Isomers 02: Cycloalkanes, Allenes, Spiro, Biphenyl",https://youtu.be/K9feZA-x0j4,comments-07-geometrical-isomers-02-cycloalkanes-allenes-spiro-biphenyl
isomerism-lecture-08,Geometrical Isomers 03: Number of Geometrical Isomers,https://youtu.be/Ukyrbpu99mk,comments-08-geometrical-isomers-03-number-of-geometrical-isomers
isomerism-lecture-09,Optical Isomers 01: Introduction - Chiral Centre and Enantiomers,https://youtu.be/ZiPzgGVJDvY,comments-09-optical-isomers-01-introduction-chiral-centre-and-enantiomers
isomerism-lecture-10,Optical Isomers 02: Plane of Symmetry and Centre of Symmetry,https://youtu.be/2Lad_FQ7K2w,comments-10-optical-isomers-02-plane-of-symmetry-and-centre-of-symmetry
isomerism-lecture-11,"Optical Isomers 03: Enantiomers, Diastereomers, Meso, Total Isomers",https://youtu.be/kfMToOXhpZk,comments-11-optical-isomers-03-enantiomers-diastereomers-meso-total-isomers
isomerism-lecture-12,Optical Isomers 04: Wedge Dash and Fischer Projections with R-S Configurations,https://youtu.be/Mjgnb1DU3LE,comments-12-optical-isomers-04-wedge-dash-and-fischer-projections-with-r-s-configurations
isomerism-lecture-13,"Optical Isomers 05: Optical Isomerism in Allene, Spiro and Biphenyl",https://youtu.be/_hK2-WkRAO0,comments-13-optical-isomers-05-optical-isomerism-in-allene-spiro-and-biphenyl
goc-lecture-01,Inductive Effect and Acidic Strength,https://youtu.be/hdAW3ng8gx0,comments-01-inductive-effect-and-acidic-strength
goc-lecture-02,Resonance 01: How to Draw Resonance Structures,https://youtu.be/rHMMX18a8ME,comments-02-resonance-01-how-to-draw-resonance-structures
goc-lecture-03,Resonance 02: Stability of Resonance Structures,https://youtu.be/RdcC7_E8yeM,comments-03-resonance-02-stability-of-resonance-structures
goc-lecture-04,Resonance 03: Mesomeric Effect Complete Topic,https://youtu.be/qkTYf0sHDiQ,comments-04-resonance-03-mesomeric-effect-complete-topic
goc-lecture-05,"Hyperconjugation Effect in Carbocation, Free Radical",https://youtu.be/jGyb5HCz-wU,comments-05-hyperconjugation-effect-in-carbocation-free-radical
goc-lecture-06,"Aromatic, Anti-Aromatic, and Non-Aromatic Compounds",https://youtu.be/lVbuBY0YMu4,comments-06-aromatic-anti-aromatic-and-non-aromatic-compounds
goc-lecture-07,Carbocation - Reaction Intermediate 01,https://youtu.be/DDYJ6piwFVU,comments-07-carbocation-reaction-intermediate-01
goc-lecture-08,Free Radical and Carbanion - Reaction Intermediate 02,https://youtu.be/-dEaa1mCfps,comments-08-free-radical-and-carbanion-reaction-intermediate-02
goc-lecture-09,Carbene || Singlet and Triplet Carbene - Reaction Intermediate 03,https://youtu.be/WsHML3uhclY,comments-09-carbene-singlet-and-triplet-carbene-reaction-intermediate-03
goc-lecture-10,"Rearrangement of Carbocation | Hydride, Methyl, and Phenyl Shifting",https://youtu.be/_l_GOioLd2Q,comments-10-rearrangement-of-carbocation-hydride-methyl-and-phenyl-shifting
purification-and-characterisation-organic-compounds-lecture-01,Purification and Characterisation of Organic Compounds,https://youtu.be/9ldKfnFH9L8,comments-01-purification-and-characterisation-of-organic-compounds
reaction-mechanism-lecture-01,Types of Attacking Reagents: Electrophile & Nucleophile,https://youtu.be/yMgv_yvL8o8,comments-01-types-of-attacking-reagents-electrophile-and-nucleophile
