updated_at,lecture_id,lecture_title,video_id,status,raw_comments_path,scrubbed_comments_path,raw_top_level_count,raw_reply_count,model,error
2026-06-27T17:34:03.923525+00:00,chemical-bonding-lecture-16,Hydrogen Bonding,k8tYXDKb2yE,chatgpt_input_exported,/Users/swetamuppidi/Documents/Sweta/swetaTech/ChemDesk/content/01-physical/03-chemical-bonding-and-molecular-structure/lectures/lecture-16-hydrogen-bonding/comments/comments-16-hydrogen-bonding.raw.json,/Users/swetamuppidi/Documents/Sweta/swetaTech/ChemDesk/content/01-physical/03-chemical-bonding-and-molecular-structure/lectures/lecture-16-hydrogen-bonding/comments/comments-16-hydrogen-bonding.scrubbed.json,500,1030,chatgpt_manual_bridge,
2026-07-06T15:38:24.727375+00:00,chemical-bonding-lecture-02,Ionic Bonds,OqdNZTHxPxM,chatgpt_input_exported,/Users/swetamuppidi/Documents/Sweta/swetaTech/ChemDesk/content/01-physical/03-chemical-bonding-and-molecular-structure/lectures/lecture-02-ionic-bonds/comments/comments-02-ionic-bonds.raw.json,/Users/swetamuppidi/Documents/Sweta/swetaTech/ChemDesk/content/01-physical/03-chemical-bonding-and-molecular-structure/lectures/lecture-02-ionic-bonds/comments/comments-02-ionic-bonds.scrubbed.json,500,1330,chatgpt_manual_bridge,
